id,modes_y,Max_Slope,Avg_Slope
10040,"car,bicycle,escooter,walk",2.866658857,1.092594044
10041,"car,bicycle,escooter,walk",4.476061601,2.175823297
10042,"car,bicycle,escooter,walk",4.239263672,2.929103509
10043,"car,bicycle,escooter,walk",5.547377642,3.039316719
10044,"car,bicycle,escooter,walk",6.784018409,3.457229208
10045,"car,bicycle,escooter,walk",6.694440802,3.765466681
10046,"bicycle,escooter,walk",4.959078838,3.463321245
10047,"car,bicycle,escooter,walk",1.538558651,0.882065828
10048,car,2.170972978,0.874209866
10049,"car,bicycle,escooter,walk",3.964721582,1.546975182
10050,car,7.771056648,5.37483808
10051,car,4.206014935,3.0695812
10052,car,2.74380831,1.802198832
10053,car,2.526536225,1.668812175
10054,car,3.073115739,2.485402914
10055,car,0.967348914,0.357389316
10056,car,3.579651656,2.201433929
10057,car,3.146773357,2.376054996
10058,car,2.803072104,1.712791359
10059,car,3.126934296,1.138775355
10060,car,1.538558651,0.882065828
10061,"car,bicycle,escooter,walk",9.900114223,5.840185835
10062,car,138.3235065,27.29696318
10063,car,138.3235065,27.29696318
10064,"bicycle,escooter,walk",138.3235065,27.29696318
10065,"car,bicycle,escooter,walk",10.83409382,7.938812429
10066,car,8.279277617,2.307815406
10067,"bicycle,escooter,walk",8.279277617,2.307815406
10068,"bicycle,escooter,walk",4.512788453,1.985357573
10069,"car,bicycle,escooter,walk",8.739061684,6.145707722
10070,"car,bicycle,escooter,walk",6.747037792,3.644805732
10071,car,4.063878932,1.560005262
10072,car,4.977906035,3.655348961
10073,car,6.418378011,2.691228536
10074,car,6.52384633,3.466496255
10077,car,3.562175248,1.583981385
10078,"bicycle,escooter,walk",3.562175248,1.583981385
10079,car,2.952160056,1.017813717
10080,"bicycle,escooter,walk",2.952160056,1.017813717
10081,"bicycle,escooter,walk",1.956673029,1.253378802
10082,car,1.956673029,1.253378802
10084,"car,bicycle,escooter,walk",6.070049163,3.427003783
10085,"bicycle,escooter,walk",11.00091936,3.58819729
10086,"bicycle,escooter,walk",19.1344358,4.881102675
10087,"bicycle,escooter,walk",9.31283219,3.252948141
10088,"bicycle,escooter,walk",8.606890687,3.459464811
10089,"bicycle,escooter,walk",9.460903849,2.972840398
10090,"bicycle,escooter,walk",5.152787381,2.728497019
10091,"car,bicycle,escooter,walk",7.632322892,5.225702254
10092,"car,bicycle,escooter,walk",1.946371047,0.962135713
10093,"car,bicycle,escooter,walk",6.494932694,2.569828811
10094,"car,bicycle,escooter,walk",8.173680577,2.984836408
10095,"car,bicycle,escooter,walk",4.300451778,2.397853221
10096,"car,bicycle,escooter,walk",3.402557261,1.688861972
10097,"car,bicycle,escooter,walk",4.908093535,3.523927858
10098,"car,bicycle,escooter,walk",8.730704993,2.862020682
10099,"car,bicycle,escooter,walk",8.393967292,5.647199726
10100,"car,bicycle,escooter,walk",5.710917634,2.187997524
10101,"car,bicycle,escooter,walk",17.49257382,12.56471527
10102,"car,bicycle,escooter,walk",11.37822911,2.1702501
10103,"car,bicycle,escooter,walk",13.00061801,8.746116522
10104,"car,bicycle,escooter,walk",9.603004512,6.164325007
10105,"car,bicycle,escooter,walk",8.847673139,3.623923709
10106,"car,bicycle,escooter,walk",11.68701219,6.814424472
10107,"car,bicycle,escooter,walk",8.890092128,3.518771334
10108,"car,bicycle,escooter,walk",1.426676077,1.410599118
10109,"car,bicycle,escooter,walk",1.828064283,0.972443234
10110,car,5.10001261,4.888751915
10111,"car,bicycle,escooter,walk",4.305191186,2.423226123
10112,"car,bicycle,escooter,walk",7.378634341,5.757994096
10113,"car,bicycle,escooter,walk",6.962270917,3.694840842
10114,"car,bicycle,escooter,walk",15.45634695,3.437484608
10115,"bicycle,escooter,walk",7.999900918,2.353588412
10116,"car,bicycle,escooter,walk",5.267207795,2.587971228
10117,"car,bicycle,escooter,walk",111.4550889,15.29629271
10118,"car,bicycle,escooter,walk",9.923489654,3.501254556
10119,"car,bicycle,escooter,walk",16.14019649,4.673688705
10120,car,9.16176885,3.816260773
10121,car,11.54807085,6.087745693
10122,car,11.69143236,5.32923455
10123,"car,bicycle,escooter,walk",1.310648988,0.907474918
10124,"car,bicycle,escooter,walk",4.834637999,2.25617832
10125,"car,bicycle,escooter,walk",4.103023112,2.412154949
10126,"car,bicycle,escooter,walk",5.928053374,3.559485336
10127,"car,bicycle,escooter,walk",3.941507304,2.262572743
10128,"car,bicycle,escooter,walk",7.832590819,5.12817373
10129,"car,bicycle,escooter,walk",4.513774618,3.576091764
10130,"car,bicycle,escooter,walk",2.581549847,1.691430024
10131,"car,bicycle,escooter,walk",4.579644585,3.627748365
10132,"car,bicycle,escooter,walk",4.674249488,2.229160195
10133,"car,bicycle,escooter,walk",3.132615413,1.262548741
10134,"car,bicycle,escooter,walk",8.351816349,5.649461173
10135,"car,bicycle,escooter,walk",5.265156337,2.783469402
10136,"car,bicycle,escooter,walk",2.769026879,0.714656966
10137,"car,bicycle,escooter,walk",12.59191988,4.758457016
10138,"car,bicycle,escooter,walk",11.08976886,9.328669961
10139,"car,bicycle,escooter,walk",10.73575124,4.8219904
10140,"car,bicycle,escooter,walk",7.573909599,6.11660958
10141,"car,bicycle,escooter,walk",11.06027731,6.174339947
10142,"car,bicycle,escooter,walk",9.865527789,6.057183389
10143,"car,bicycle,escooter,walk",4.675143969,1.951917692
10144,"car,bicycle,escooter,walk",5.087707154,2.095606626
10145,"car,bicycle,escooter,walk",9.95955116,6.580237446
10146,"car,bicycle,escooter,walk",9.465717134,6.306725262
10147,"car,bicycle,escooter,walk",3.295328731,1.303119715
10148,"car,bicycle,escooter,walk",6.189115172,3.231411282
10149,"car,bicycle,escooter,walk",9.956413255,5.593173403
10150,"car,bicycle,escooter,walk",7.108850092,3.834023563
10151,"car,bicycle,escooter,walk",7.171129358,4.036979831
10152,"car,bicycle,escooter,walk",8.562776555,4.18697397
10153,"car,bicycle,escooter,walk",12.56575251,2.974012913
10154,"car,bicycle,escooter,walk",7.646273776,2.875210566
10155,"bicycle,escooter,walk",13.68289981,6.166012239
10156,"car,bicycle,escooter,walk",12.38727889,10.06970619
10157,"bicycle,escooter,walk",4.251090068,2.21421522
10158,"bicycle,escooter,walk",3.490332113,2.48598672
10159,"car,bicycle,escooter,walk",5.357054987,3.274653744
10160,"car,bicycle,escooter,walk",14.18029642,2.923261814
10161,"car,bicycle,escooter,walk",5.586199909,3.875816051
10162,"car,bicycle,escooter,walk",3.138437827,1.595515873
10163,"car,bicycle,escooter,walk",3.231822584,1.63864534
10165,"car,bicycle,escooter,walk",10.53041543,2.969204775
10166,"car,bicycle,escooter,walk",9.584948378,3.972062043
10167,"car,bicycle,escooter,walk",2.700130552,0.868631356
10168,"car,bicycle,escooter,walk",6.255021674,4.90082465
10169,"car,bicycle,escooter,walk",12.71682977,8.788776564
10170,"car,bicycle,escooter,walk",9.35440464,4.207313663
10171,"car,bicycle,escooter,walk",11.52281067,5.815860044
10172,"car,bicycle,escooter,walk",9.96269671,2.029255936
10173,"car,bicycle,escooter,walk",5.418827644,4.820008656
10174,"car,bicycle,escooter,walk",3.598915841,2.524981232
10175,"car,bicycle,escooter,walk",3.877571222,3.393838243
10176,"car,bicycle,escooter,walk",4.483822379,3.797525974
10177,"car,bicycle,escooter,walk",5.620155969,4.892603034
10178,"car,bicycle,escooter,walk",9.599778782,2.356152559
10179,"car,bicycle,escooter,walk",12.96124392,3.376467828
10180,"car,bicycle,escooter,walk",3.676205725,2.060434402
10181,"car,bicycle,escooter,walk",2.801434941,1.097048986
10182,"car,bicycle,escooter,walk",7.981753436,5.075953262
10183,"car,bicycle,escooter,walk",8.634784909,4.439477284
10184,"car,bicycle,escooter,walk",6.987568829,4.291312593
10185,"car,bicycle,escooter,walk",8.25337027,4.280798572
10186,"car,bicycle,escooter,walk",1.338104403,1.186659569
10187,"car,bicycle,escooter,walk",11.18608353,3.290501798
10189,"car,bicycle,escooter,walk",1.179994059,0.617785345
10190,"car,bicycle,escooter,walk",12.99872286,5.131512878
10191,"car,bicycle,escooter,walk",9.065784127,5.179377921
10192,"car,bicycle,escooter,walk",3.641724783,3.073804346
10193,"car,bicycle,escooter,walk",4.34238297,2.068908001
10194,"bicycle,escooter,walk",9.864344434,6.727300047
10195,"car,bicycle,escooter,walk",3.020271633,2.490083989
10196,"car,bicycle,escooter,walk",3.350537864,1.942569176
10197,"bicycle,escooter,walk",1.765981255,0.736468704
10198,"bicycle,escooter,walk",3.912707469,2.966386676
10199,"bicycle,escooter,walk",3.412345939,1.766877441
10200,"car,bicycle,escooter,walk",3.277102359,1.931982773
10201,"car,bicycle,escooter,walk",4.178964764,1.830400994
10202,"car,bicycle,escooter,walk",4.607664486,2.329693943
10203,"car,bicycle,escooter,walk",4.267313752,2.166290097
10204,"car,bicycle,escooter,walk",3.822551065,1.823023662
10205,"car,bicycle,escooter,walk",2.270654456,0.681850869
10206,"car,bicycle,escooter,walk",3.747296223,3.056849261
10207,"car,bicycle,escooter,walk",1.871426544,1.054620822
10208,"car,bicycle,escooter,walk",2.836299016,2.322118261
10209,"car,bicycle,escooter,walk",1.778869875,0.676734792
10210,"car,bicycle,escooter,walk",3.072777533,2.132230808
10211,"car,bicycle,escooter,walk",1.055628703,0.81892981
10212,"car,bicycle,escooter,walk",0.996540347,0.535395007
10213,"car,bicycle,escooter,walk",5.322264957,2.409175363
10214,"car,bicycle,escooter,walk",4.714159639,4.072954387
10215,"car,bicycle,escooter,walk",9.15352525,4.112966225
10216,"car,bicycle,escooter,walk",9.729682969,4.293485562
10217,"car,bicycle,escooter,walk",6.07492205,5.002300554
10218,"car,bicycle,escooter,walk",4.107105488,2.102784325
10219,"car,bicycle,escooter,walk",1.577342675,0.799089954
10220,"car,bicycle,escooter,walk",2.386622622,1.295144512
10221,"car,bicycle,escooter,walk",6.90200013,3.84639979
10222,"car,bicycle,escooter,walk",2.944346828,1.282520754
10223,"car,bicycle,escooter,walk",4.724460557,2.836836116
10224,"car,bicycle,escooter,walk",4.709030168,1.991549305
10225,"car,bicycle,escooter,walk",4.387358152,1.486473468
10226,"car,bicycle,escooter,walk",10.50237325,3.186833775
10227,"car,bicycle,escooter,walk",6.015881618,3.904937042
10228,"car,bicycle,escooter,walk",11.3333735,4.55521855
10229,"car,bicycle,escooter,walk",12.01555342,7.720123663
10230,"car,bicycle,escooter,walk",6.188394918,3.467367326
10231,"car,bicycle,escooter,walk",1.844121509,0.942094732
10232,"car,bicycle,escooter,walk",9.099189818,5.839886099
10233,"car,bicycle,escooter,walk",8.6967528,4.217563131
10234,"car,bicycle,escooter,walk",9.212110939,3.837764355
10235,"car,bicycle,escooter,walk",14.86973224,4.149493193
10236,"car,bicycle,escooter,walk",12.23876762,11.72298805
10237,"car,bicycle,escooter,walk",4.076342889,2.932801958
10238,"car,bicycle,escooter,walk",7.828207966,4.18664589
10239,"car,bicycle,escooter,walk",7.393477428,1.823178628
10240,"car,bicycle,escooter,walk",9.541760599,7.387031606
10241,"car,bicycle,escooter,walk",8.456595391,3.366067241
10242,"car,bicycle,escooter,walk",21.13212851,16.28800392
10243,"car,bicycle,escooter,walk",7.377601223,4.546230653
10244,"car,bicycle,escooter,walk",7.790963084,2.672427897
10245,"car,bicycle,escooter,walk",4.17034995,2.27821628
10246,"car,bicycle,escooter,walk",3.036030979,2.482087857
10247,"car,bicycle,escooter,walk",1.448244384,1.206050795
10248,"car,bicycle,escooter,walk",1.8293017,1.027933855
10249,"car,bicycle,escooter,walk",1.144925278,0.589056275
10250,"car,bicycle,escooter,walk",2.764904367,1.12240454
10251,"car,bicycle,escooter,walk",3.087112475,2.375050005
10252,"car,bicycle,escooter,walk",3.955122821,2.534776002
10253,"car,bicycle,escooter,walk",5.373228468,1.320865082
10254,"car,bicycle,escooter,walk",7.26116102,4.100986106
10255,"car,bicycle,escooter,walk",5.672824129,3.351106688
10256,"car,bicycle,escooter,walk",5.008551876,2.012622061
10257,"car,bicycle,escooter,walk",2.704257425,2.114669163
10258,"car,bicycle,escooter,walk",0.858950517,0.419058797
10259,"car,bicycle,escooter,walk",1.173309478,0.576964984
10260,"car,bicycle,escooter,walk",3.657481917,2.802681273
10261,"car,bicycle,escooter,walk",2.724966121,2.215189017
10262,"car,bicycle,escooter,walk",1.996172728,1.762047258
10263,"car,bicycle,escooter,walk",1.674031497,0.91604317
10264,"car,bicycle,escooter,walk",3.512186136,2.640411144
10265,"car,bicycle,escooter,walk",3.034100593,2.740329296
10266,"car,bicycle,escooter,walk",3.536576692,2.846440227
10267,"car,bicycle,escooter,walk",3.567287171,2.336131082
10268,"car,bicycle,escooter,walk",4.34469912,3.411857017
10269,"car,bicycle,escooter,walk",3.696868469,2.652871487
10270,"car,bicycle,escooter,walk",4.550551694,2.828994507
10271,"car,bicycle,escooter,walk",2.87399521,1.671878609
10272,"car,bicycle,escooter,walk",5.000283131,3.137113323
10273,"car,bicycle,escooter,walk",6.171439384,3.693276836
10274,"car,bicycle,escooter,walk",6.292337536,2.465822299
10275,"car,bicycle,escooter,walk",6.852748496,3.60991889
10276,"car,bicycle,escooter,walk",10.85867745,4.424007201
10277,"car,bicycle,escooter,walk",4.340984662,3.067158666
10278,"car,bicycle,escooter,walk",5.125935685,4.150116688
10279,"car,bicycle,escooter,walk",5.653116849,4.512891379
10280,"car,bicycle,escooter,walk",3.524013875,2.889954032
10281,"car,bicycle,escooter,walk",2.693018633,2.143510657
10282,"car,bicycle,escooter,walk",1.692616925,0.898407577
10283,"car,bicycle,escooter,walk",6.881004939,4.360578591
10284,"car,bicycle,escooter,walk",5.666727418,3.587589536
10285,"car,bicycle,escooter,walk",5.592437552,2.772059604
10286,"car,bicycle,escooter,walk",0.943293268,0.536810896
10287,"car,bicycle,escooter,walk",7.964187106,4.47306672
10288,"car,bicycle,escooter,walk",8.542669595,5.774271211
10289,"car,bicycle,escooter,walk",1.35522366,1.146468335
10290,"car,bicycle,escooter,walk",6.065221858,2.830356609
10291,"car,bicycle,escooter,walk",1.933035183,1.246489718
10292,"car,bicycle,escooter,walk",2.515025933,1.433404324
10293,"car,bicycle,escooter,walk",6.330057844,1.869929215
10294,"car,bicycle,escooter,walk",7.244445097,6.164402126
10295,"car,bicycle,escooter,walk",7.555422673,3.747078
10296,"car,bicycle,escooter,walk",3.624088357,1.593480533
10297,"car,bicycle,escooter,walk",5.306481141,2.12836037
10298,"car,bicycle,escooter,walk",6.430095596,3.919558589
10299,"car,bicycle,escooter,walk",8.505868787,5.896851338
10300,"car,bicycle,escooter,walk",0.736721812,0.344407451
10301,"car,bicycle,escooter,walk",2.504879679,0.985495822
10302,"car,bicycle,escooter,walk",2.144318221,1.276837389
10303,"car,bicycle,escooter,walk",1.437995945,0.972232687
10304,"car,bicycle,escooter,walk",3.750748162,1.828494213
10305,"car,bicycle,escooter,walk",3.625188994,1.879407138
10306,"car,bicycle,escooter,walk",4.545106501,3.888428471
10307,"car,bicycle,escooter,walk",1.36413949,0.766486506
10308,"car,bicycle,escooter,walk",1.729038869,0.7947037
10309,"car,bicycle,escooter,walk",3.739300824,2.348058416
10310,"car,bicycle,escooter,walk",4.209423422,3.207354568
10311,"car,bicycle,escooter,walk",6.13011513,5.381499317
10312,"car,bicycle,escooter,walk",1.101746144,0.580237694
10313,"car,bicycle,escooter,walk",4.267524536,2.840381314
10314,"car,bicycle,escooter,walk",6.615889384,6.163981061
10315,"car,bicycle,escooter,walk",3.062157581,3.037572713
10316,"car,bicycle,escooter,walk",4.428372105,3.910249139
10317,"car,bicycle,escooter,walk",6.944497691,4.243836225
10318,"car,bicycle,escooter,walk",11.33468612,6.065559332
10319,"car,bicycle,escooter,walk",7.376861172,5.714119237
10320,"car,bicycle,escooter,walk",6.518899121,3.693228982
10321,"car,bicycle,escooter,walk",5.816059432,4.476547162
10322,"car,bicycle,escooter,walk",7.471256558,4.565712825
10323,"car,bicycle,escooter,walk",2.707588143,1.961780348
10324,"car,bicycle,escooter,walk",3.937388835,2.753311815
10325,"car,bicycle,escooter,walk",5.886777673,4.307549321
10326,"car,bicycle,escooter,walk",2.682620037,0.952484515
10327,"car,bicycle,escooter,walk",3.189608564,2.461200301
10328,"car,bicycle,escooter,walk",1.332466773,0.849953478
10329,"car,bicycle,escooter,walk",1.836638637,0.728828804
10330,"car,bicycle,escooter,walk",1.773781627,1.363347185
10331,"car,bicycle,escooter,walk",1.638582356,1.086816767
10332,"car,bicycle,escooter,walk",4.722628259,1.606852117
10333,"car,bicycle,escooter,walk",4.091887585,2.611590365
10334,"car,bicycle,escooter,walk",5.466090467,2.791601611
10335,"car,bicycle,escooter,walk",3.269820705,2.607694976
10336,"car,bicycle,escooter,walk",2.660016523,1.561807571
10337,"car,bicycle,escooter,walk",3.317386324,1.990811834
10338,"car,bicycle,escooter,walk",1.065761128,0.659174413
10339,"car,bicycle,escooter,walk",1.462017025,0.769453906
10340,"car,bicycle,escooter,walk",1.127700167,0.763969722
10341,"car,bicycle,escooter,walk",2.621259197,1.850760478
10342,"car,bicycle,escooter,walk",5.374622457,3.494078614
10343,"car,bicycle,escooter,walk",4.261108483,2.663033594
10344,"car,bicycle,escooter,walk",3.254213808,2.839357941
10345,"car,bicycle,escooter,walk",1.273549977,0.670416421
10346,"car,bicycle,escooter,walk",3.540586252,3.362254496
10347,"car,bicycle,escooter,walk",2.799670062,2.489861467
10348,"car,bicycle,escooter,walk",4.074957405,2.723446478
10349,"car,bicycle,escooter,walk",5.215397582,3.695452587
10350,"car,bicycle,escooter,walk",1.892584965,1.409890885
10351,"car,bicycle,escooter,walk",4.927170917,3.624437479
10352,"car,bicycle,escooter,walk",3.677027383,3.177607743
10353,"car,bicycle,escooter,walk",2.040943442,1.321898251
10354,"car,bicycle,escooter,walk",2.50409023,2.474748803
10355,"car,bicycle,escooter,walk",2.286025281,1.973203064
10356,"car,bicycle,escooter,walk",1.368590078,1.250257611
10357,"car,bicycle,escooter,walk",1.793744484,1.70080021
10358,"car,bicycle,escooter,walk",2.452754826,1.56844989
10359,"car,bicycle,escooter,walk",1.314983087,0.826157194
10360,"car,bicycle,escooter,walk",4.382789093,2.209937182
10361,"car,bicycle,escooter,walk",1.711094241,1.571605718
10362,"car,bicycle,escooter,walk",4.662715502,1.875741186
10363,"car,bicycle,escooter,walk",6.843781281,3.098148951
10364,"car,bicycle,escooter,walk",1.100523853,1.027594928
10365,"car,bicycle,escooter,walk",9.076109097,3.675967579
10366,"car,bicycle,escooter,walk",0.495985985,0.376861815
10367,"car,bicycle,escooter,walk",2.415506456,1.825248127
10368,"car,bicycle,escooter,walk",2.861631298,2.085572475
10369,"car,bicycle,escooter,walk",8.829094053,2.985648074
10370,"car,bicycle,escooter,walk",5.155101818,1.978998881
10371,"car,bicycle,escooter,walk",2.469230524,1.173592534
10372,"car,bicycle,escooter,walk",3.945797544,2.497013389
10373,"bicycle,escooter,walk",3.540073957,1.939632505
10374,"bicycle,escooter,walk",2.978183411,1.927088761
10375,"car,bicycle,escooter,walk",1.68449147,0.711022061
10376,"car,bicycle,escooter,walk",2.179515353,0.789292657
10377,"car,bicycle,escooter,walk",1.049938252,0.422201523
10378,"car,bicycle,escooter,walk",5.241355106,3.584056006
10379,"car,bicycle,escooter,walk",3.398322075,2.839620319
10380,"car,bicycle,escooter,walk",2.78224931,2.166674986
10381,"car,bicycle,escooter,walk",2.063485449,1.199476583
10382,"car,bicycle,escooter,walk",3.36848285,3.005772848
10383,"car,bicycle,escooter,walk",1.523610332,0.871180815
10384,"car,bicycle,escooter,walk",2.059627757,1.724538274
10385,"car,bicycle,escooter,walk",6.857678212,3.210431844
10386,"car,bicycle,escooter,walk",2.115710334,1.338388252
10387,"car,bicycle,escooter,walk",6.052971338,4.483685351
10388,"car,bicycle,escooter,walk",4.278635131,1.919707807
10389,"car,bicycle,escooter,walk",8.718669509,2.541339756
10390,"car,bicycle,escooter,walk",2.090107256,1.491233405
10391,"bicycle,escooter,walk",2.60504355,2.101217343
10392,"car,bicycle,escooter,walk",2.509970076,1.417074679
10393,car,4.512788453,1.985357573
10394,"car,bicycle,escooter,walk",7.070509122,3.494330663
10395,"car,bicycle,escooter,walk",5.482893516,3.929050649
10396,"car,bicycle,escooter,walk",3.008371073,1.436687971
10397,"car,bicycle,escooter,walk",2.598164914,1.120765555
10398,"car,bicycle,escooter,walk",3.660815097,1.623253736
10399,"car,bicycle,escooter,walk",0.327349349,0.24437534
10400,"car,bicycle,escooter,walk",8.3266851,3.355803506
10406,"car,bicycle,escooter,walk",10.85867745,4.424007201
10407,"car,bicycle,escooter,walk",5.853354312,2.264839847
10408,"car,bicycle,escooter,walk",45.23550918,5.100382707
10409,"car,bicycle,escooter,walk",9.556446716,2.234260658
10410,"car,bicycle,escooter,walk",4.119969604,0.959467196
10411,"car,bicycle,escooter,walk",47.12545531,2.555619503
10412,"car,bicycle,escooter,walk",12.19912813,4.463640889
10413,"car,bicycle,escooter,walk",15.45634695,3.437484608
10414,"car,bicycle,escooter,walk",7.024712957,2.546925339
