id,x,y,z,coords
49,476327.582,4203272.129,0.0,"[[476327.581894288, 4203272.12915437]]"
50,476300.566,4203312.113,0.0,"[[476300.5656130558, 4203312.1132505955]]"
51,476402.147,4203372.63,0.0,"[[476402.14683048916, 4203372.629720557]]"
52,476157.379,4203526.623,0.0,"[[476157.3793225245, 4203526.622523583]]"
53,476499.859,4202789.345,0.0,"[[476499.8589426394, 4202789.344810473]]"
54,476632.147,4202771.155,0.0,"[[476632.1469672696, 4202771.155207086]]"
55,476477.535,4202450.357,0.0,"[[476477.53533848305, 4202450.356747357]]"
56,476368.327,4202312.57,0.0,"[[476368.32696329587, 4202312.569810881]]"
57,476613.131,4202679.38,0.0,"[[476613.130563729, 4202679.380389998]]"
58,476565.176,4202565.282,0.0,"[[476565.1761548006, 4202565.281968755]]"
59,476484.15,4202700.05,0.0,"[[476484.1497397146, 4202700.050393846]]"
60,476470.921,4202615.717,0.0,"[[476470.92093725153, 4202615.716778144]]"
61,476437.022,4202487.563,0.0,"[[476437.02213094005, 4202487.562754284]]"
62,475415.716,4202274.464,0.0,"[[475415.7155233331, 4202274.464147626]]"
63,475219.334,4202880.394,0.0,"[[475219.333869211, 4202880.393866755]]"
64,475367.04,4203054.955,0.0,"[[475367.0397287217, 4203054.955337086]]"
65,475051.486,4203106.988,0.0,"[[475051.48630158516, 4203106.98808305]]"
66,476296.761,4202257.714,0.0,"[[476296.76110762934, 4202257.71364548]]"
67,476137.22,4202177.558,0.0,"[[476137.2202818742, 4202177.557868286]]"
68,476205.044,4202190.66,0.0,"[[476205.04440103576, 4202190.660254942]]"
69,476140.303,4202349.43,0.0,"[[476140.30319638154, 4202349.430352071]]"
70,476200.42,4202317.06,0.0,"[[476200.42002927477, 4202317.059749744]]"
71,476143.386,4202410.703,0.0,"[[476143.38611088885, 4202410.703277904]]"
72,476086.352,4202517.835,0.0,"[[476086.35219250293, 4202517.834557034]]"
73,476055.138,4202591.054,0.0,"[[476055.1376831162, 4202591.053776584]]"
74,475892.899,4202657.336,0.0,"[[475892.89930716704, 4202657.33643849]]"
75,475900.607,4202690.478,0.0,"[[475900.6065934354, 4202690.477769444]]"
76,476089.435,4202609.551,0.0,"[[476089.4351070103, 4202609.551263626]]"
77,476137.502,4202628.089,0.0,"[[476137.5023313776, 4202628.088800681]]"
78,476217.539,4202643.197,0.0,"[[476217.53878107463, 4202643.197109514]]"
79,476316.681,4202641.353,0.0,"[[476316.68085807026, 4202641.3526057545]]"
80,476372.477,4202633.052,0.0,"[[476372.47709675145, 4202633.052338843]]"
81,476395.533,4202629.824,0.0,"[[476395.53339372715, 4202629.824457266]]"
82,476464.241,4202588.784,0.0,"[[476464.2411587148, 4202588.784248648]]"
83,476401.067,4202579.101,0.0,"[[476401.0669050014, 4202579.100603919]]"
84,476322.675,4202614.146,0.0,"[[476322.67549528397, 4202614.146175322]]"
85,476263.651,4202578.639,0.0,"[[476263.6513750262, 4202578.63947798]]"
86,476239.212,4202572.645,0.0,"[[476239.21170023194, 4202572.644840767]]"
87,476313.453,4202498.404,0.0,"[[476313.4529764937, 4202498.403564504]]"
88,476372.016,4202431.54,0.0,"[[476372.015970812, 4202431.540303274]]"
89,476455.941,4202420.934,0.0,"[[476455.9408918036, 4202420.934406667]]"
90,476427.812,4202383.122,0.0,"[[476427.81220949325, 4202383.122079627]]"
91,476404.295,4202353.149,0.0,"[[476404.29478657804, 4202353.148893558]]"
92,476363.255,4202378.972,0.0,"[[476363.25457796134, 4202378.971946173]]"
93,476332.82,4202335.626,0.0,"[[476332.82026595337, 4202335.6261078585]]"
94,476270.568,4202375.744,0.0,"[[476270.568264119, 4202375.7440645965]]"
95,476279.33,4202411.712,0.0,"[[476279.32965696976, 4202411.711887878]]"
96,476419.973,4202441.224,0.0,"[[476419.97306852153, 4202441.223948007]]"
97,476346.654,4202468.892,0.0,"[[476346.6540441388, 4202468.891504378]]"
98,476354.954,4202429.696,0.0,"[[476354.95431105007, 4202429.695799518]]"
99,476853.431,4202123.508,0.0,"[[476853.4314516648, 4202123.508175684]]"
100,476744.606,4202023.905,0.0,"[[476744.6057299394, 4202023.904972749]]"
101,476604.423,4201994.393,0.0,"[[476604.42344432714, 4201994.39291262]]"
102,476434.729,4201931.68,0.0,"[[476434.72909858596, 4201931.679784846]]"
103,476275.706,4202051.804,0.0,"[[476275.70573663025, 4202051.803731109]]"
8000,476503.464,4201016.733,0.0,"[[476503.46399811003, 4201016.732889688]]"
108,476408.605,4202709.738,0.0,"[[476408.6047326337, 4202709.73824847]]"
109,476412.7,4202750.69,0.0,"[[476412.6999305081, 4202750.690227214]]"
110,476421.709,4202799.014,0.0,"[[476421.7093658317, 4202799.013562132]]"
111,476441.366,4202935.793,0.0,"[[476441.36631562875, 4202935.793171137]]"
112,476339.805,4202759.7,0.0,"[[476339.805408344, 4202759.699662537]]"
113,476351.272,4202815.394,0.0,"[[476351.2719623923, 4202815.394353629]]"
114,476373.386,4202950.536,0.0,"[[476373.386030914, 4202950.5358834835]]"
115,476390.586,4203048.002,0.0,"[[476390.58586198644, 4203048.001592895]]"
116,476203.026,4202743.319,0.0,"[[476203.0257993396, 4202743.318871041]]"
117,476212.035,4202831.775,0.0,"[[476212.0352346632, 4202831.775145127]]"
118,476069.932,4202706.872,0.0,"[[476069.9318684221, 4202706.871609958]]"
119,475895.476,4202789.595,0.0,"[[475895.4764389733, 4202789.594607021]]"
120,475881.553,4202735.538,0.0,"[[475881.5527662004, 4202735.537995079]]"
121,475913.495,4202909.993,0.0,"[[475913.4953096206, 4202909.993424527]]"
122,475924.143,4202959.136,0.0,"[[475924.142824094, 4202959.13579902]]"
123,476256.673,4202824.813,0.0,"[[476256.672891494, 4202824.81330874]]"
124,476305.815,4202820.718,0.0,"[[476305.8152659866, 4202820.718110866]]"
125,476365.605,4202757.652,0.0,"[[476365.6051549527, 4202757.6520636]]"
126,476330.386,4202958.317,0.0,"[[476330.38645323296, 4202958.316759446]]"
127,475957.723,4203101.649,0.0,"[[475957.72344666405, 4203101.648685049]]"
128,476242.749,4203072.982,0.0,"[[476242.74921872123, 4203072.9822999295]]"
129,475922.505,4203087.725,0.0,"[[475922.50474494434, 4203087.725012275]]"
130,475835.687,4203141.782,0.0,"[[475835.6865500074, 4203141.7816242175]]"
131,475815.211,4203044.316,0.0,"[[475815.21056063543, 4203044.315914807]]"
132,475932.538,4203008.688,0.0,"[[475932.5379797365, 4203008.687693299]]"
133,476246.844,4202750.895,0.0,"[[476246.8444165956, 4202750.894987105]]"
134,476302.539,4202756.219,0.0,"[[476302.5391076872, 4202756.218744342]]"
135,475870.905,4203330.365,0.0,"[[475870.9052517268, 4203330.365486325]]"
136,475898.753,4203463.05,0.0,"[[475898.7525972726, 4203463.049897455]]"
137,475931.514,4203645.696,0.0,"[[475931.5141802677, 4203645.695722652]]"
138,476175.588,4203162.462,0.0,"[[476175.58797358104, 4203162.462373475]]"
139,476223.092,4203100.215,0.0,"[[476223.0922689239, 4203100.215365783]]"
140,476033.894,4203298.423,0.0,"[[476033.8941271273, 4203298.422942904]]"
141,476127.265,4203286.137,0.0,"[[476127.26463866327, 4203286.1373492805]]"
142,476145.284,4203407.355,0.0,"[[476145.28350931057, 4203407.355206363]]"
143,476169.036,4203273.033,0.0,"[[476169.035656982, 4203273.032716082]]"
144,476019.97,4203436.841,0.0,"[[476019.97045435436, 4203436.840631058]]"
145,475988.847,4203308.251,0.0,"[[475988.84695050906, 4203308.251417803]]"
146,476054.37,4203622.763,0.0,"[[476054.37011649925, 4203622.762614556]]"
147,476251.759,4203146.082,0.0,"[[476251.7586540445, 4203146.081581979]]"
148,476217.359,4203194.405,0.0,"[[476217.35899189964, 4203194.4049168965]]"
149,476314.006,4203154.272,0.0,"[[476314.00566173514, 4203154.271977727]]"
150,476334.891,4203166.148,0.0,"[[476334.8911708945, 4203166.148051564]]"
151,476297.215,4203063.768,0.0,"[[476297.21535045025, 4203063.768104704]]"
152,476332.025,4203058.035,0.0,"[[476332.0245323825, 4203058.034827679]]"
153,475854.524,4203243.547,0.0,"[[475854.52446022915, 4203243.547291388]]"
154,476042.085,4203551.506,0.0,"[[476042.08452287584, 4203551.506171542]]"
155,475961.819,4203758.518,0.0,"[[475961.81864453777, 4203758.518424089]]"
156,475726.55,4202671.653,0.0,"[[475726.5495266538, 4202671.652908217]]"
157,475731.054,4202699.5,0.0,"[[475731.0542443156, 4202699.500253763]]"
158,475788.797,4202681.072,0.0,"[[475788.79653434444, 4202681.071863328]]"
159,475784.292,4202663.463,0.0,"[[475784.2918166826, 4202663.462512469]]"
160,475733.921,4202740.862,0.0,"[[475733.9208828277, 4202740.861752295]]"
161,475712.523,4202743.165,0.0,"[[475712.52347393375, 4202743.1653010985]]"
162,475650.379,4202751.1,0.0,"[[475650.37884619023, 4202751.099746981]]"
163,475655.293,4202797.785,0.0,"[[475655.2930836395, 4202797.7850027485]]"
164,475733.307,4202796.864,0.0,"[[475733.3066031464, 4202796.863583227]]"
165,475829.749,4202777.719,0.0,"[[475829.74851308827, 4202777.718533164]]"
166,475808.044,4202727.348,0.0,"[[475808.04396435403, 4202727.347599309]]"
167,475760.335,4202984.628,0.0,"[[475760.33490911714, 4202984.628405767]]"
168,475718.973,4202992.409,0.0,"[[475718.9734105859, 4202992.409281728]]"
169,475690.717,4202997.733,0.0,"[[475690.7165452526, 4202997.733038965]]"
170,475583.218,4203014.728,0.0,"[[475583.21760105004, 4203014.728110143]]"
171,475509.709,4203027.218,0.0,"[[475509.70879920485, 4203027.218463658]]"
172,475450.328,4203037.866,0.0,"[[475450.32843002625, 4203037.865978131]]"
173,475821.763,4202757.14,0.0,"[[475821.7628772329, 4202757.1401638435]]"
174,475374.311,4203091.871,0.0,"[[475374.31131948286, 4203091.871400103]]"
175,475359.159,4203114.805,0.0,"[[475359.1590873476, 4203114.804508199]]"
176,475248.998,4203288.85,0.0,"[[475248.99826452666, 4203288.85041786]]"
177,475151.533,4203233.156,0.0,"[[475151.5325551163, 4203233.155726768]]"
178,475278.484,4203241.346,0.0,"[[475278.4836892222, 4203241.346122517]]"
179,475308.788,4203178.28,0.0,"[[475308.7881534927, 4203178.280075251]]"
180,475393.149,4203151.252,0.0,"[[475393.149229705, 4203151.251769281]]"
181,475332.95,4203270.832,0.0,"[[475332.9498209514, 4203270.831547212]]"
182,475398.063,4203306.869,0.0,"[[475398.0634671542, 4203306.869288507]]"
183,475461.13,4203217.594,0.0,"[[475461.12951441976, 4203217.5939748455]]"
184,475532.795,4203272.47,0.0,"[[475532.7954772213, 4203272.469626361]]"
185,475501.672,4203365.84,0.0,"[[475501.67197337595, 4203365.840137897]]"
186,475462.358,4203414.983,0.0,"[[475462.3580737819, 4203414.982512389]]"
187,475554.91,4203396.145,0.0,"[[475554.90954574296, 4203396.144602167]]"
188,475526.243,4203446.925,0.0,"[[475526.24316062225, 4203446.925055809]]"
189,475597.5,4203315.879,0.0,"[[475597.49960363656, 4203315.878723829]]"
190,475575.386,4203360.107,0.0,"[[475575.3855351149, 4203360.106860872]]"
191,475522.967,4203335.536,0.0,"[[475522.9670023228, 4203335.535673627]]"
192,475433.692,4203192.204,0.0,"[[475433.6916886612, 4203192.203748024]]"
193,475569.447,4203298.884,0.0,"[[475569.447498197, 4203298.883652651]]"
194,475636.199,4203343.726,0.0,"[[475636.1992235494, 4203343.726069376]]"
195,475631.285,4203376.897,0.0,"[[475631.2849861003, 4203376.8971721595]]"
196,475536.276,4203532.515,0.0,"[[475536.27639541455, 4203532.514691385]]"
197,475641.933,4203448.973,0.0,"[[475641.93250057363, 4203448.972654748]]"
198,475700.903,4203432.592,0.0,"[[475700.90334996476, 4203432.59186325]]"
199,475657.494,4203471.906,0.0,"[[475657.4942524963, 4203471.905762845]]"
200,475641.113,4203420.306,0.0,"[[475641.11346099875, 4203420.306269627]]"
201,475690.256,4203408.84,0.0,"[[475690.2558354914, 4203408.839715579]]"
202,475703.36,4203457.163,0.0,"[[475703.3604686894, 4203457.163050497]]"
203,475715.646,4203361.335,0.0,"[[475715.6460623126, 4203361.335420236]]"
204,475727.113,4203427.678,0.0,"[[475727.1126163608, 4203427.677625801]]"
205,475768.065,4203353.145,0.0,"[[475768.0645951047, 4203353.145024487]]"
206,475821.302,4203343.317,0.0,"[[475821.3021674717, 4203343.316549589]]"
207,475732.846,4203495.658,0.0,"[[475732.845893385, 4203495.657910516]]"
208,475795.093,4203480.096,0.0,"[[475795.0929010756, 4203480.096158593]]"
209,475664.047,4203513.677,0.0,"[[475664.04656909534, 4203513.676781164]]"
210,475758.236,4203607.866,0.0,"[[475758.2361202062, 4203607.866332274]]"
211,475563.305,4203466.172,0.0,"[[475563.30470138544, 4203466.17248582]]"
212,475693.532,4203620.152,0.0,"[[475693.5319937909, 4203620.151925897]]"
213,475815.569,4203595.581,0.0,"[[475815.56889044755, 4203595.58073865]]"
214,475840.959,4203474.363,0.0,"[[475840.95911726874, 4203474.362881568]]"
215,475856.521,4203566.914,0.0,"[[475856.5208691914, 4203566.914353529]]"
216,475880.273,4203655.371,0.0,"[[475880.27301686286, 4203655.3706276165]]"
217,475830.312,4203662.742,0.0,"[[475830.3116027953, 4203662.74198379]]"
218,475316.057,4203326.219,0.0,"[[475316.0571297192, 4203326.219098462]]"
219,475367.861,4203356.728,0.0,"[[475367.86138283013, 4203356.728322627]]"
220,475810.04,4203574.337,0.0,"[[475810.04037331685, 4203574.336899668]]"
221,475777.688,4203417.9,0.0,"[[475777.6883101089, 4203417.900340862]]"
222,475646.692,4203087.672,0.0,"[[475646.69196883315, 4203087.672076806]]"
223,475658.253,4203103.857,0.0,"[[475658.25289823575, 4203103.85737797]]"
224,475677.521,4203073.414,0.0,"[[475677.52111390664, 4203073.413597209]]"
225,475722.994,4203103.472,0.0,"[[475722.99410288996, 4203103.472013656]]"
226,475764.228,4203018.692,0.0,"[[475764.22808442573, 4203018.691864705]]"
227,475682.916,4203161.662,0.0,"[[475682.9162142945, 4203161.662024982]]"
228,475704.882,4203157.423,0.0,"[[475704.8819801593, 4203157.423017534]]"
229,475711.048,4203142.779,0.0,"[[475711.047809174, 4203142.779173625]]"
230,475719.526,4203122.355,0.0,"[[475719.5258240692, 4203122.354865014]]"
231,475741.492,4203065.706,0.0,"[[475741.49158993404, 4203065.706310941]]"
232,475773.091,4203142.008,0.0,"[[475773.09146363434, 4203142.008444998]]"
233,475764.613,4203090.37,0.0,"[[475764.6134487391, 4203090.369627]]"
234,475788.121,4203192.106,0.0,"[[475788.1206718577, 4203192.1058057435]]"
235,475837.833,4203250.296,0.0,"[[475837.83266828867, 4203250.295817069]]"
236,475704.689,4203185.555,0.0,"[[475704.68929800275, 4203185.554612413]]"
237,475489.463,4203081.121,0.0,"[[475489.4633289587, 4203081.120883479]]"
238,475525.688,4203113.877,0.0,"[[475525.68757442, 4203113.876850119]]"
239,475564.995,4203150.101,0.0,"[[475564.99473438866, 4203150.1010955805]]"
240,475630.507,4203194.803,0.0,"[[475630.50666766975, 4203194.803355937]]"
241,475680.604,4203228.33,0.0,"[[475680.6040284141, 4203228.330051204]]"
242,475670.199,4203267.252,0.0,"[[475670.1991919519, 4203267.251846859]]"
243,475615.092,4203238.35,0.0,"[[475615.0920951331, 4203238.349523352]]"
244,475551.507,4203241.432,0.0,"[[475551.5069834191, 4203241.43243786]]"
245,475711.819,4203224.091,0.0,"[[475711.8185378012, 4203224.091043755]]"
246,475765.77,4203283.823,0.0,"[[475765.7695416797, 4203283.822512335]]"
247,475822.033,4203230.642,0.0,"[[475822.03273143875, 4203230.642237083]]"
248,475412.005,4203112.721,0.0,"[[475412.0051019619, 4203112.720757178]]"
249,475441.678,4203133.916,0.0,"[[475441.6781540951, 4203133.915794415]]"
250,475474.819,4203158.579,0.0,"[[475474.819485049, 4203158.579110474]]"
251,475587.924,4203219.081,0.0,"[[475587.92391103704, 4203219.08130768]]"
252,475550.158,4203158.194,0.0,"[[475550.1582083221, 4203158.193746161]]"
253,475513.549,4203056.843,0.0,"[[475513.5485985474, 4203056.842931731]]"
254,475781.032,4203299.797,0.0,"[[475781.03231107787, 4203299.796827394]]"
255,475797.863,4203153.505,0.0,"[[475797.86340787, 4203153.504623086]]"
256,475797.662,4203073.355,0.0,"[[475797.6616652715, 4203073.355170724]]"
257,475819.335,4203066.899,0.0,"[[475819.33458442864, 4203066.899407571]]"
258,475360.957,4203018.107,0.0,"[[475360.9571803616, 4203018.107143041]]"
259,476611.85,4202773.883,0.0,"[[476611.8497417168, 4202773.882509418]]"
260,476593.063,4202682.648,0.0,"[[476593.0632314376, 4202682.647508217]]"
261,476551.348,4202573.83,0.0,"[[476551.3475445099, 4202573.830260216]]"
